Date,Open,High,Low,Close,Adj Close,Volume
2020-11-16,214.869995,217.740005,214.520004,217.229996,216.164902,24953300
2020-11-17,216.100006,217.679993,214.080002,214.460007,213.408493,24154100
2020-11-18,213.649994,215.169998,210.929993,211.080002,210.594971,28372800
2020-11-19,211.380005,213.029999,209.929993,212.419998,211.931885,24792700
2020-11-20,212.199997,213.289993,210.000000,210.389999,209.906555,22843100
2020-11-23,210.949997,212.289993,208.160004,210.110001,209.627197,25683500
2020-11-24,209.589996,214.250000,208.860001,213.860001,213.368576,33979700
2020-11-25,215.110001,215.289993,212.460007,213.869995,213.378555,21012900
2020-11-27,214.850006,216.270004,214.039993,215.229996,214.735428,14512200
2020-11-30,214.100006,214.759995,210.839996,214.070007,213.578094,33064800
2020-12-01,214.509995,217.320007,213.350006,216.210007,215.713181,30904500
2020-12-02,214.880005,215.470001,212.800003,215.369995,214.875107,23724500
2020-12-03,214.610001,216.380005,213.649994,214.240005,213.747711,25120900
2020-12-04,214.220001,215.380005,213.179993,214.360001,213.867432,24666000
2020-12-07,214.369995,215.539993,212.990005,214.289993,213.797577,24620000
2020-12-08,213.970001,216.949997,212.889999,216.009995,215.513626,23284100
2020-12-09,215.160004,215.229996,211.210007,211.800003,211.313309,32440600
2020-12-10,211.770004,213.080002,210.360001,210.520004,210.036255,26733300
2020-12-11,210.050003,213.320007,209.110001,213.259995,212.769943,30979400
2020-12-14,213.100006,216.210007,212.880005,214.199997,213.707794,28798400
2020-12-15,215.169998,215.419998,212.240005,214.130005,213.637955,27000600
2020-12-16,214.750000,220.110001,214.720001,219.279999,218.776123,35023300
2020-12-17,219.869995,220.889999,217.919998,219.419998,218.915802,32515800
2020-12-18,218.589996,219.690002,216.020004,218.589996,218.087708,63354900
2020-12-21,217.550003,224.000000,217.279999,222.589996,222.078506,37181900
2020-12-22,222.690002,225.630005,221.850006,223.940002,223.425415,22612200
2020-12-23,223.110001,223.559998,220.800003,221.020004,220.512131,18699600
2020-12-24,221.419998,223.610001,221.199997,222.750000,222.238144,10550600
2020-12-28,224.449997,226.029999,223.020004,224.960007,224.443069,17933500
2020-12-29,226.309998,227.179993,223.580002,224.149994,223.634918,17403200
2020-12-30,225.229996,225.630005,221.470001,221.679993,221.170593,20272300
2020-12-31,221.699997,223.000000,219.679993,222.419998,221.908905,20942100
2021-01-04,222.529999,223.000000,214.809998,217.690002,217.189774,37130100
2021-01-05,217.259995,218.520004,215.699997,217.899994,217.399292,23823000
2021-01-06,212.169998,216.490005,211.940002,212.250000,211.762268,35930700
2021-01-07,214.039993,219.339996,213.710007,218.289993,217.788391,27694500
2021-01-08,218.679993,220.580002,217.029999,219.619995,219.115341,22956200
2021-01-11,218.470001,218.910004,216.729996,217.490005,216.990234,23031300
2021-01-12,216.500000,217.100006,213.320007,214.929993,214.436111,23249300
2021-01-13,214.020004,216.759995,213.929993,216.339996,215.842880,20087100
2021-01-14,215.910004,217.460007,212.740005,213.020004,212.530518,29480800
2021-01-15,213.520004,214.509995,212.029999,212.649994,212.161346,31746500
